,Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score, CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl,CES 4.0 Percentile,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
0,6037204920,2751,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,82.39,99.97,95-100% (highest scores),0.048,53.73,12.25164028,89.21,0.781,96.55,787.94,92.53,92.56,98.4,0.0,0.0,3682.693278,87.73,2522.622269,92.84,38.75,92.96,20.5,68.92,11.62,99.66,7,66.74,4.85,73.08,77.67,9.48,99.86,76.1,82.76,7.11,90.89,20.87,90.15,52.2,97.39,17.1,81.55,62.6,93.39,6.4,61.53,20.3,63.97,83.75,8.69,95.79,99.97,13.34,72.59,14.07,97.27,1.71,0.84,0.0,0.0,0.18
1,6037542402,3306,Los Angeles,90221,Compton,-118.2124134,33.881969,80.71,99.94,95-100% (highest scores),0.043,29.89,12.25258001,89.22,0.52,90.64,459.74,55.31,91.09,97.49,0.41,36.07,12491.99626,98.36,1480.520959,77.66,19.4,81.3,53.3,91.0,2.72,95.34,10,82.97,5.5,77.62,76.44,9.33,99.78,86.77,88.6,6.28,80.04,22.2,93.67,33.1,83.57,,,43.5,74.05,9.3,83.22,23.7,76.35,83.37,8.65,95.46,99.94,11.34,77.53,11.13,65.34,0.54,33.55,0.0,0.57,0.0
2,6037543202,5124,Los Angeles,90220,Compton,-118.230032,33.8798617,79.29,99.91,95-100% (highest scores),0.042,26.7,12.21666021,88.64,0.376,83.17,459.2,55.16,91.35,97.71,1.66,46.07,14883.20671,98.99,1575.35455,79.6,22.5,84.21,63.5,93.08,1.785,91.83,7,66.74,1.7,43.21,73.27,8.95,99.25,114.33,95.46,6.32,80.73,18.18,81.31,43.3,92.33,9.7,60.62,56.8,88.92,12.6,93.49,29.6,89.84,85.44,8.86,96.9,99.91,18.6,72.48,8.92,78.14,1.09,15.67,0.0,4.84,0.25
3,6037203300,2000,Los Angeles,90033,Los Angeles,-118.2077883,34.0588723,77.35,99.87,95-100% (highest scores),0.049,59.69,12.57687534,91.57,1.053,98.41,798.87,93.57,74.68,84.31,0.0,0.0,1894.993347,78.08,2125.866346,88.83,16.8,77.7,47.55,89.41,2.09,92.8,13,91.87,0.5,22.08,74.46,9.09,99.45,65.53,74.85,6.16,78.36,13.45,57.13,52.1,97.33,28.4,94.87,71.7,97.95,11.9,91.94,28.3,87.49,82.01,8.51,94.49,99.87,7.7,84.5,7.8,75.55,2.85,10.45,0.0,6.95,4.2
4,6037291220,3640,Los Angeles,90247,Los Angeles,-118.286709,33.8771395,77.25,99.86,95-100% (highest scores),0.041,24.88,12.0660607,82.35,0.637,94.08,805.57,94.04,66.07,74.22,66.5,74.14,19774.78971,99.52,3455.239256,97.63,16.0,76.73,37.55,84.71,7.28,98.84,16,96.26,4.2,70.9,81.9,10.0,100.0,64.77,74.05,7.77,95.43,12.99,53.75,31.6,81.93,20.1,86.75,51.5,83.49,4.5,37.71,26.1,82.79,74.47,7.73,86.01,99.86,12.77,73.16,14.07,69.34,3.98,8.43,0.0,16.32,1.92
5,6037433501,1949,Los Angeles,91733,South El Monte,-118.0651222,34.0572554,76.91,99.85,95-100% (highest scores),0.055,71.66,12.00416809,78.44,0.551,91.56,821.08,95.28,91.11,97.54,0.01,12.21,2234.535319,81.08,905.045862,51.86,19.6,81.43,198.65,99.12,0.71,78.76,4,43.78,3.0,63.67,72.75,8.88,99.15,65.92,75.19,5.6,66.83,16.69,74.84,52.2,97.39,31.3,96.14,61.1,92.37,12.4,93.09,32.7,94.16,83.46,8.66,95.54,99.85,10.98,75.42,13.6,93.89,0.72,0.0,0.0,5.39,0.0
6,6037243100,6772,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,76.85,99.84,95-100% (highest scores),0.044,35.16,12.0902374,83.73,0.805,96.76,787.94,92.53,75.63,85.29,0.0,0.0,8878.613322,96.72,2484.965675,92.41,16.9,77.77,13.15,54.66,1.22,88.1,0,0.0,0.2,9.67,63.9,7.8,94.95,129.2,97.1,9.48,99.23,26.48,98.63,44.8,93.48,12.4,69.79,73.5,98.45,15.6,97.27,41.2,99.0,94.96,9.85,99.91,99.84,22.65,70.85,6.5,67.22,1.86,30.38,0.0,0.22,0.32
7,6037227010,5705,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,76.65,99.82,95-100% (highest scores),0.046,46.99,12.09940492,84.39,0.565,91.89,787.94,92.53,95.59,99.57,0.0,0.0,2762.896647,83.81,832.5616204,46.5,53.15,96.4,4.55,27.78,3.065,96.24,7,66.74,7.25,83.92,70.21,8.57,98.52,68.48,77.37,5.57,66.05,21.83,93.28,63.2,99.62,28.3,94.79,68.6,96.86,8.4,77.76,39.5,98.44,86.2,8.94,97.37,99.82,19.16,75.23,5.61,92.92,0.56,5.33,1.19,0.0,0.0
8,6037226001,2615,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,76.52,99.81,95-100% (highest scores),0.046,46.99,12.15802236,87.29,0.629,93.86,787.94,92.53,97.66,99.96,0.0,0.0,2607.823324,83.11,2429.418553,91.94,49.05,95.6,8.6,42.16,4.435,97.45,7,66.74,9.5,89.83,75.76,9.25,99.68,72.02,79.92,5.24,58.56,13.67,58.35,44.6,93.36,28.1,94.63,71.9,98.02,9.6,84.58,40.8,98.87,79.75,8.27,92.36,99.81,24.21,70.9,4.89,83.71,0.38,15.56,0.34,0.0,0.0
9,6037433101,2464,Los Angeles,91731,El Monte,-118.0605567,34.0686907,76.26,99.79,95-100% (highest scores),0.056,74.1,11.94103408,75.21,0.355,81.64,842.55,96.23,78.02,87.47,0.6,39.66,2118.801005,80.3,2834.65939,94.99,23.4,84.81,60.8,92.66,0.42,63.07,3,33.16,2.5,59.18,74.66,9.12,99.5,60.57,69.64,7.07,90.6,15.27,68.2,42.7,92.0,35.6,97.74,43.5,74.05,8.1,76.05,27.5,85.96,80.65,8.37,93.15,99.79,7.47,69.89,22.65,48.3,2.44,0.16,0.16,48.42,0.53
